mmr_height,mmr_leaves,extra_gas_mint,gas_verify
0,1,4680,3159
1,2,13475,4433
2,4,16755,5707
3,8,20035,6981
4,16,23315,8255
5,32,26596,9530
6,64,29878,10804
7,128,33159,12078
8,256,36441,13353
9,512,39723,14627
10,1024,43006,15901
11,2048,46288,17176
12,4096,49572,18450
13,8192,52855,19725
14,16384,56139,20999
15,32768,59423,22274
16,65536,62707,23549
17,131072,65992,24823
